2026-04-14 04:48:58 | include.extract.fetch_s3 | INFO | [line:24] | Fetching json data from s3://supplychain360-data/raw/shipments/
2026-04-14 04:49:00 | include.utils.retry | WARNING | [line:30] | Unable to locate credentials, Retrying in 10 seconds...
2026-04-14 04:49:10 | include.extract.fetch_s3 | INFO | [line:24] | Fetching json data from s3://supplychain360-data/raw/shipments/
2026-04-14 04:49:13 | include.load.ingest_s3_datasets | ERROR | [line:47] | Failed to ingest S3 dataset shipments: Unable to locate credentials
2026-04-14 05:05:58 | include.load.supplychain_ingestion | INFO | [line:13] | Starting Master Data Ingestion (Google Sheets)...
2026-04-14 05:05:58 | include.extract.google_sheets | INFO | [line:27] | Fetching from Google Sheet: 164vMPKEZARKeGf1AHyJl33gmkbtUpPfz00hSWd2x1io | Range: Sheet1!A1:F1000
2026-04-14 05:05:58 | include.load.ingest_s3_datasets | INFO | [line:24] | Processing S3 Dataset: suppliers
2026-04-14 05:05:58 | include.extract.fetch_s3 | INFO | [line:24] | Fetching csv data from s3://supplychain360-data/raw/suppliers/suppliers.csv
2026-04-14 05:05:58 | include.load.ingest_store_sales | INFO | [line:50] | Starting Incremental Sales Ingestion to Snowflake
2026-04-14 05:05:58 | include.extract.postgres_sales | INFO | [line:64] | Listing sales tables from source schema public
2026-04-14 05:06:00 | include.extract.google_sheets | INFO | [line:54] | Successfully extracted 800 rows.
2026-04-14 05:06:00 | include.utils.write_to_s3 | INFO | [line:47] | Successfully wrote 12 rows to s3://supplychain360-raw-dev/raw/suppliers/source_object=suppliers/data.parquet
2026-04-14 05:06:01 | include.load.snowflake_loader | ERROR | [line:38] | Snowflake Load Error for suppliers: Password was given but private key is not encrypted.
2026-04-14 05:06:01 | include.load.ingest_s3_datasets | ERROR | [line:47] | Failed to ingest S3 dataset suppliers: Password was given but private key is not encrypted.
2026-04-14 05:06:01 | include.load.ingest_s3_datasets | INFO | [line:24] | Processing S3 Dataset: warehouses
2026-04-14 05:06:01 | include.extract.fetch_s3 | INFO | [line:24] | Fetching csv data from s3://supplychain360-data/raw/warehouses/warehouses.csv
2026-04-14 05:06:01 | include.utils.write_to_s3 | INFO | [line:47] | Successfully wrote 800 rows to s3://supplychain360-raw-dev/raw/master_data/store_locations.parquet
2026-04-14 05:06:02 | include.utils.write_to_s3 | INFO | [line:47] | Successfully wrote 10 rows to s3://supplychain360-raw-dev/raw/warehouses/source_object=warehouses/data.parquet
2026-04-14 05:06:02 | include.load.snowflake_loader | ERROR | [line:38] | Snowflake Load Error for warehouses: Password was given but private key is not encrypted.
2026-04-14 05:06:02 | include.load.ingest_s3_datasets | ERROR | [line:47] | Failed to ingest S3 dataset warehouses: Password was given but private key is not encrypted.
